"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "MS SQL", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\User\Desktop\Projects\karibuassalam\README.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 25, 92
"c:\Users\User\Desktop\Projects\karibuassalam\index.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\User\Desktop\Projects\karibuassalam\package-lock.json", "JSON", 1866, 0, 0, 0, 0, 0, 0, 0, 1, 1867
"c:\Users\User\Desktop\Projects\karibuassalam\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\User\Desktop\Projects\karibuassalam\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 7, 87
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\Accordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 4, 62
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\CTAButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 4, 35
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\EcoVillageCards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 4, 54
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\FloatingWhatsAppHelp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 4, 42
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 126, 1, 16, 143
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 2, 44
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\LanguageToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 10, 163
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\PartnerGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 13, 101
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\RetreatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 4, 40
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\SEO.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\Section.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"c:\Users\User\Desktop\Projects\karibuassalam\src\components\WhatsAppButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\User\Desktop\Projects\karibuassalam\src\context\LanguageContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 1, 8, 45
"c:\Users\User\Desktop\Projects\karibuassalam\src\data\bookingOptions.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"c:\Users\User\Desktop\Projects\karibuassalam\src\data\faq.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 1, 1, 63
"c:\Users\User\Desktop\Projects\karibuassalam\src\data\i18n.js", "JavaScript", 0, 0, 0, 159, 0, 0, 0, 2, 10, 171
"c:\Users\User\Desktop\Projects\karibuassalam\src\data\phraseTranslations.js", "JavaScript", 0, 0, 0, 436, 0, 0, 0, 1, 3, 440
"c:\Users\User\Desktop\Projects\karibuassalam\src\data\retreats.js", "JavaScript", 0, 0, 0, 157, 0, 0, 0, 1, 7, 165
"c:\Users\User\Desktop\Projects\karibuassalam\src\data\siteConfig.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 1, 4, 31
"c:\Users\User\Desktop\Projects\karibuassalam\src\lib\supabaseClient.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\User\Desktop\Projects\karibuassalam\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 1, 2, 18
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 9, 118
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 463, 0, 34, 497
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\Booking.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 407, 0, 35, 442
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\Campus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 1, 6, 66
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 212, 0, 21, 233
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\FAQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 4, 50
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\Food.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 6, 57
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 216, 1, 14, 231
"c:\Users\User\Desktop\Projects\karibuassalam\src\pages\RetreatDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 14, 176
